slug,name,description,axis,seo_title,seo_description,published,sort_order
boom-snoeien,Boom snoeien,"Onderhoudssnoei, begeleidingssnoei, kroonreductie en knotten.",dienst,Boom snoeien in de regio Antwerpen,"Boomverzorgers die snoeiwerk uitvoeren in en rond Antwerpen, met standplaats en werkgebied.",yes,110
boom-vellen,Boom vellen,Vellen en gecontroleerd demonteren van bomen.,dienst,Boom vellen in de regio Antwerpen,Boomverzorgers die bomen vellen of gecontroleerd demonteren in en rond Antwerpen.,yes,120
stronk-verwijderen,Stronk verwijderen,Stobben frezen of uitgraven na het vellen.,dienst,Boomstronk verwijderen in de regio Antwerpen,"Wie stronken freest of uitgraaft in en rond Antwerpen, met standplaats en werkgebied.",yes,130
boomonderzoek,Boomonderzoek,"Boomveiligheidscontrole, VTA en nader onderzoek.",dienst,Boomonderzoek en boomveiligheidscontrole in de regio Antwerpen,Boomverzorgers en boomexperten die bomen inspecteren en beoordelen in en rond Antwerpen.,yes,140
boomadvies,Boomadvies,"Advies over behoud, beheer, vergunning en aansprakelijkheid.",dienst,Boomadvies in de regio Antwerpen,"Wie adviseert over boombehoud, beheer en vergunningen in en rond Antwerpen.",yes,150
aanplanten-verplanten,Aanplanten en verplanten,Nieuwe bomen planten en bestaande bomen verplaatsen.,dienst,Bomen aanplanten en verplanten in de regio Antwerpen,Boomverzorgers die bomen planten of verplanten in en rond Antwerpen.,yes,160
groeiplaatsverbetering,Groeiplaatsverbetering,"Bodemverbetering, beluchting en bescherming van de wortelzone.",dienst,Groeiplaatsverbetering in de regio Antwerpen,Wie groeiplaatsen van bomen verbetert of beschermt in en rond Antwerpen.,yes,170
stormschade,Stormschade,Opruimen en veiligstellen van bomen na storm.,dienst,Stormschade aan bomen in de regio Antwerpen,Boomverzorgers die stormschade opruimen en bomen veiligstellen in en rond Antwerpen.,yes,180
klimwerken,Klimwerken,Werk in de boom met touwtechniek in plaats van vanaf de grond.,specialisatie,Klimwerken in bomen in de regio Antwerpen,Boomverzorgers die klimmend werken in en rond Antwerpen.,yes,210
moeilijk-bereikbare-bomen,Moeilijk bereikbare bomen,"Bomen in stadstuinen, achtertuinen of tussen gebouwen.",specialisatie,Moeilijk bereikbare bomen in de regio Antwerpen,Boomverzorgers die werken op krappe en moeilijk bereikbare locaties in en rond Antwerpen.,yes,220
